adm4_pcode,imada,delegation,gouvernorat,area_sqkm,tribes_n,tribes
TN245257,Sejja,Siliana Sud,Siliana,58.87,1,Ouled Aoun
TN246155,Sidi Ayed,Laroussa,Siliana,51.9,1,Ouled Aoun
TN245256,Sidi Hmada,Siliana Sud,Siliana,39.81,1,Ouled Aoun
TN245255,Sidi Mansour,Siliana Sud,Siliana,59.16,1,Ouled Aoun
TN245254,Sidi Morched,Siliana Sud,Siliana,63.18,1,Ouled Aoun
TN246054,Sidi Said,Bargou,Siliana,71.07,1,Riah
TN245152,Siliana Nord,Siliana Nord,Siliana,9.54,1,Ouled Aoun
TN245251,Siliana Sud,Siliana Sud,Siliana,2.19,1,Ouled Aoun
TN245151,Siliana Ville,Siliana Nord,Siliana,1.99,1,Ouled Aoun
TN245356,Tarf Ech-Chena,Bouarada,Siliana,59.1,1,Riah
TN316156,Ain Errahma,Bouficha,Sousse,50.94,1,Ouled Saïd
TN316060,Ain Medhaker,Enfidha,Sousse,50.34,1,Ouled Saïd
TN316151,Bouficha,Bouficha,Sousse,15.62,1,Ouled Saïd
TN316055,Chegarnia,Enfidha,Sousse,44.62,1,Ouled Saïd
TN316157,El Methalit,Bouficha,Sousse,10.08,1,Ouled Saïd
TN316051,Enfidha,Enfidha,Sousse,83.99,1,Ouled Saïd
TN316154,Essafha,Bouficha,Sousse,40.01,1,Ouled Saïd
TN316158,Esselloum,Bouficha,Sousse,21.37,1,Ouled Saïd
TN316152,Oued El Kharroub,Bouficha,Sousse,17.9,1,Ouled Saïd
TN316056,Ouled Abdellah,Enfidha,Sousse,14.95,1,Ouled Saïd
TN316257,Ouled Ameur,Kondar,Sousse,14.01,1,Souassi
TN316255,Ouled El Abed,Kondar,Sousse,31.03,1,Souassi
TN316153,Sidi Khalifa,Bouficha,Sousse,31.65,1,Ouled Saïd
TN316159,Sidi M'Tir,Bouficha,Sousse,28.1,1,Ouled Saïd
TN316155,Sidi Said,Bouficha,Sousse,45.54,1,Ouled Saïd
TN316057,Takrouna,Enfidha,Sousse,2.35,1,Ouled Saïd
TN165358,Ain Asker,Bir Mchergua,Zaghouan,73.89,1,Ouled Khiar
TN165258,Ain El Batria,Zriba,Zaghouan,49.05,1,Ouled Saïd
TN165356,Ain Essafsaf,Bir Mchergua,Zaghouan,37.56,1,Ouled Khiar
TN165351,Bir M'Chergua,Bir Mchergua,Zaghouan,49.5,1,Ouled Khiar
TN165352,Bir M'Chergua Gare,Bir Mchergua,Zaghouan,43.7,1,Ouled Khiar
TN165256,Bou Achir,Zriba,Zaghouan,39.4,1,Ouled Saïd
TN165357,Boucha,Bir Mchergua,Zaghouan,61.1,1,Drid
TN165654,Deghafla Est,Saouaf,Zaghouan,30.56,1,Souassi
TN165458,El Ghrifet,Fahs,Zaghouan,165.01,1,Drid
TN165551,En Nadhour,Nadhour,Zaghouan,59.85,1,Souassi
TN165255,Ez-Zeriba Village,Zriba,Zaghouan,29.43,1,Ouled Saïd
TN165254,Ez-Zriba Hammam Nord,Zriba,Zaghouan,39.39,1,Ouled Saïd
TN165355,Jebel Oust,Bir Mchergua,Zaghouan,118.09,1,Ouled Khiar
TN165257,Jeradou,Zriba,Zaghouan,59.36,1,Ouled Saïd
TN165155,Mograne,Zaghouan,Zaghouan,73.1,1,Ouled Khiar
TN165158,Oued Erremel,Zaghouan,Zaghouan,62.81,1,Ouled Saïd
TN165159,Oued Ezzit,Zaghouan,Zaghouan,78.11,1,Ouled Saïd
TN165354,Smenja,Bir Mchergua,Zaghouan,75.73,1,Ouled Khiar
TN165463,Telil Essalhi,Fahs,Zaghouan,83.25,1,Riah
